विह्वलः सः दिशः न जानाति।|Overwhelmed, he does not know the directions.|वह व्याकुल (जन) दिशाएँ नहीं जानता।
शिलातले शैवालः प्रसरति।|Moss spreads on the surface of the rock.|चट्टान के तल पर काई फैलती है।
कः मया सह आगमिष्यति।|Who will come with me?|मेरे साथ कौन आएगा।
नवोढायाः अञ्जलौ लाजकणाः।|There are grains of puffed rice in the new bride's cupped hands.|नई दुल्हन की अंजलि में खील के कण हैं।
वादेन विवादः वर्धते।|Conflict increases with argument.|वाद से विवाद बढ़ता है।
मम प्रश्नान् श्रुत्वा तूष्णीं मा भव।|Having heard my questions, do not become silent.|मेरे प्रश्न सुनकर चुप मत होओ।
सोपानस्य अन्तिमे पदे सः विश्राम्यति।|He rests on the final step of the staircase.|वह सीढ़ी के अंतिम पग पर विश्राम करता है।
भ्रमरः स्वयं कमले बद्धः।|The bee itself is trapped in the lotus.|भौंरा स्वयं कमल में बँधा है।
तस्य वाक्यं वज्रपातः इव आसीत्।|His sentence was like the fall of a thunderbolt.|उसका वाक्य वज्रपात जैसा था।
जीर्णकुटीरस्य द्वारं वातेन घर्घरायते।|The door of the dilapidated hut is rattling in the wind.|पुरानी कुटिया का द्वार पवन से चरमरा रहा है।
त्वम् आत्मानं पण्डितं मन्यसे किम्।|Do you consider yourself a scholar?|तुम स्वयं को पंडित मानते हो क्या।
अश्वखुरैः धूलिः उत्पद्यते।|Dust is produced by the hooves of the horses.|घोड़ों के खुरों से धूल उत्पन्न होती है।
अहं तव गूढाभिप्रायं वेद्मि।|I know your hidden intention.|मैं तुम्हारा गूढ़ अभिप्राय जानता हूँ।
अरण्यस्य पथि एकः पान्थः।|There's a lone traveler on the forest path, .|वन के पथ पर एक अकेला पथिक।
वने शुष्कपर्णानां मर्मरध्वनिः।|There's the rustling sound of dry leaves in the forest.|वन में सूखे पत्तों की मर्मर ध्वनि होती है।
यदि सत्यं जानासि तर्हि वद।|If you know the truth, then speak.|यदि सत्य जानते हो तो बोलो।
विहाय निद्रां मम वचनं शृणु।|Leaving sleep aside, listen to my words.|निद्रा को छोड़कर मेरी बात सुनो।
वनेचराः पादचिह्नैः मृगम् अन्विष्यन्ति।|The forest-dwellers are tracking the deer by the footprints.|वनवासी पदचिह्नों से हिरण को ढूँढते हैं।
वृद्धा स्वशैशवं स्मृत्वा हसति।|Remembering her childhood, the old woman laughs.|अपने बचपन को स्मरण करके बुढ़िया हँसती है।
को नाम त्वां प्रतारयितुं शक्नुयात्।|Who indeed could possibly deceive you?|भला कौन तुम्हें ठग सकता है।
माता स्वपुत्राय छत्रं धरति।|The mother is holding an umbrella for her son.|माता अपने पुत्र के लिए छाता पकड़ती है।
लोहः अग्निना ताडनैः च मृदुः भवति।|Iron becomes soft by fire and by hammer-blows.|लोहा अग्नि से और चोटों से कोमल होता है।
अहं तव मनोगतं ज्ञातुम् इच्छामि।|I wish to know your intention.|मैं तुम्हारे मन की बात जानना चाहता हूँ।
द्यूते पराजितः नृपः वनम् अगच्छत्।|Defeated in the dice game, the king went to the forest.|जुए में पराजित होकर राजा वन को चला गया।
किं त्वं मां विस्मृत्य सुखेन जीवसि।|Are you living happily, having forgotten me?|क्या तुम मुझे भूलकर सुख से जी रही हो।
इन्द्रनीलमणेः कान्तिः श्यामा।|The lustre of a sapphire is black.|नीलमणि की चमक काली है।
यदि सः न आगच्छति तर्हि किं करिष्यसि।|If he does not come, then what will you do?|यदि वह नहीं आता तो तुम क्या करोगी।
सा स्वपुत्रं राजानं द्रष्टुम् ऐच्छत्।|She wished to see her own son as a king.|वह अपने पुत्र को राजा देखना चाहती थी।
कृपया स्वकार्यं कुरु मम कार्ये मा व्यचर।|Please do your work; do not interfere in my work.|कृपया अपना कार्य करो, मेरे कार्य में हस्तक्षेप मत करो।
मूषकः बिलं प्रविश्य अदृश्यः।|Entering the hole, the mouse is unseen.|चूहा बिल में प्रवेश करके अदृश्य है।
वार्धक्ये इन्द्रियाणि शिथिलानि भवन्ति।|In old age, the senses become weak.|बुढ़ापे में इंद्रियाँ शिथिल हो जाती हैं।
तैलं समाप्तमिति ज्ञात्वा दीपः अकम्पत।|Knowing that the oil was finished, the lamp trembled.|तेल समाप्त हो गया है यह जानकर दीपक काँप उठा।
सः मां चौरवत् पश्यति।|He is looking at me stealthily.|वह मुझे चोर जैसे देख रहा है।
त्वम् अस्य विवादस्य मूलकारणम्।|You are the root cause of this conflict.|तुम इस विवाद का मूल कारण हो।
माता स्वबालं प्रबोधयति।|The mother is waking up her child.|माता अपने बालक को जगा रही है।
त्वया कृतं कर्म त्वया एव भोक्तव्यम्।|The deed done by you must be yield by you alone.|तुम्हारे द्वारा किया गया कर्म तुम्हें ही भोगना होगा।
शिलायाम् उत्कीर्णं नाम कालेन लुप्यते।|A name carved on a stone is erased by time.|शिला पर खोदा गया नाम समय से लुप्त हो जाता है।
अहं तस्य गूढं रहस्यम् अजानम्।|I came to know his deep secret.|मैं उसका गूढ़ रहस्य जान गया।
गङ्गायाः तटे साधवः तपस्यन्ति।|On the bank of the Ganga, sages are performing austerities.|गंगा के तट पर साधु तपस्या कर रहे हैं।
वृष्टिम् आशङ्क्य पक्षिणः नीडानि रचयन्ति।|Anticipating rain, the birds are building their nests.|वर्षा की आशंका से पक्षी घोंसले बना रहे हैं।
तव मुखं दृष्ट्वा किं जातम् इति मन्ये।|Seeing your face, I can guess what has happened.|तुम्हारा मुख देखकर मैं समझ रहा हूँ क्या हुआ है।
मन्थनदण्डेन दधि विलोड्यते।|Curd is being churned by the churning stick.|मथानी से दही बिलोया जा रहा है।
किं त्वं तस्य उपहासं करोषि।|Are you making fun of him?|क्या तुम उसका उपहास कर रहे हो।
यथा नृपः तथा प्रजाः भवन्ति।|As is the king, so are the subjects.|जैसा राजा, वैसी प्रजा होती है।
व्याधः मृगं हन्तुं शरं सन्दधाति।|The hunter, to kill the deer, readies the arrow.|आखेटक हिरण को मारने के लिए बाण साधता है।
सा स्वभाग्यम् उपालभमाना रोदिति।|Reproaching her own destiny, she is crying.|वह अपने भाग्य को उलाहना देती हुई रो रही है।
इतः परम् एकम् अपि शब्दं मा वद।|From now on, do not speak even a single word.|इसके पश्चात् एक भी शब्द मत बोलो।
तेन किं उक्तम् इति मया न श्रुतम्।|What was said by him was not heard by me.|उसने क्या कहा, यह मैंने नहीं सुना।
सः मां प्रति ईर्ष्यति इति भाति।|It seems he is envious towards me.|लगता है वह मुझसे ईर्ष्या करता है।
जीर्णमन्दिरे घण्टानादः नास्ति।|In the dilapidated temple, there is no sound of bells.|टूटे-फूटे मंदिर में घंटी का नाद नहीं है।
त्वया विना मम जीवनं वृथा।|Without you, my life is in vain.|तुम्हारे बिना मेरा जीवन व्यर्थ है।
